song_name,song_popularity
Boulevard of Broken Dreams,73
In The End,66
Seven Nation Army,76
By The Way,74
How You Remind Me,56
Bring Me To Life,80
Last Resort,81
Are You Gonna Be My Girl,76
Mr. Brightside,80
Sex on Fire,81
The Middle,78
Numb,63
Smooth Criminal,75
Can't Stop,81
Chop Suey!,69
Take Me Out,77
I Miss You,71
Best of You,62
I Write Sins Not Tragedies,77
Kryptonite,79
The Kill (Bury Me),69
Use Somebody,79
No One Knows,13
Jerk It Out,62
Uprising,77
Hey There Delilah,79
Blurry,28
American Idiot,78
Welcome to the Black Parade,77
Gives You Hell,71
All My Life,11
Like a Stone,77
It's Been Awhile,65
I Hate Everything About You,75
Rollin' (Air Raid Vehicle),74
Fat Lip,74
The Pretender,11
Savior,73
Bodies,74
"Sugar, We're Goin Down",79
Last Nite,70
Through Glass,60
The Diary of Jane - Single Version,69
Down With the Sickness,73
Wish You Were Here,62
Youth Of The Nation,72
Vertigo,57
Miss Murder,71
I Bet You Look Good On The Dancefloor,63
"Steady, As She Goes",64
Falling Away from Me,71
Crawling In The Dark,61
I Stand Alone,67
Woman,63
Show Me How to Live,72
The Red,71
Remedy,70
Plug In Baby,65
Change (In the House of Flies) - In The House Of Flies LP Version,69
Judith,66
MIA (feat. Drake),94
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",98
White Boi,59
Just Wanna Love You (feat. J. Balvin),73
Beautiful (feat. Camila Cabello),94
Celoso,87
Good Vibes,73
Real Friends,85
Pa La Calle,61
Pa Mí,58
Wake Up in the Sky,92
Está Rico,83
Banana Clip - Spanish Version,57
YAKWTFGO (feat. Kali Uchis),44
Come With Me,47
Como Si Na,54
Blah,47
Love N Hennessy REMIX (feat. 2 Chainz & Nicky Jam),64
Mi Infinita,56
Coqueta,49
Sola,65
Nuestro Planeta (feat. Reykon),52
Hijo de Su Madre,61
Lento,65
Dicen,77
BEBE,95
I Like It,95
Zooted (feat. French Montana & Farruko),74
Havana - Remix,77
Pum Pum,45
Quiero Saber,52
Como,38
Anywhere Contigo,46
No Gratis,44
Díganle - Tainy Remix,75
Sangria Wine,75
All Day,45
Just As I Am,53
Nice & Slow,38
Scooby Doo Pa Pa (Remix),60
Don't Werk,39
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",88
Pa Mi (with Ozuna),77
Lo Siento,68
Nuestra Cancion Pt. 2 (feat. Arcángel),46
La Hora Loca,44
Dinero - English Version,37
Pum Pum (feat. Kap G & Play-N-Skillz),53
Hora Loca,65
Better With You,68
NIGHTS LIKE THESE,59
Alright,43
Insecure,53
Si Una Vez - (If I Once)[Spanglish Version],54
Finesse (Remix) [feat. Cardi B],84
Belong To U,44
Sunny Daze,40
"Uno Más Feat. Pharrell Williams, Miguel, Wiz Khalifa, J Alvarez (Remix)",41
Island,37
Crazy In Love,79
Rock Your Body,74
Beautiful Girls,10
Toxic,60
Michael Jackson x Mark Ronson: Diamonds are Invincible,70
Yeah!,79
Live Your Life (feat. Rihanna),76
Hips Don't Lie,84
"Hey, Soul Sister",77
Pumped Up Kicks,84
Love Never Felt so Good,74
Hall of Fame,73
All of Me,85
Drops of Jupiter,78
We Can't Stop,78
Fighter,69
Since U Been Gone,75
Hey Ya! - Radio Mix / Club Mix,76
TiK ToK,71
Look At Me Now,71
SexyBack,77
With You,69
Breakeven,76
I Know You Want Me (Calle Ocho),65
Bye Bye Bye,73
Complicated,77
Let Me Love You,80
Beautiful,73
Raise Your Glass,54
Timber,75
What Makes You Beautiful,69
No One,79
Sk8er Boi,67
Womanizer,76
Give Me Everything,75
Single Ladies (Put a Ring on It),72
Bleeding Love,81
Lose My Breath,63
Love Song,77
Ms. Jackson,78
Die Young,72
Survivor,62
Oops!...I Did It Again,77
Cry Me a River,77
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,77
